School Name,URL,State
Westmoreland County Community College,http://wccc.edu,PA
West  Chester University,http://wcupa.edu,PA
Westminster College,http://westminster.edu,PA
Widener University,http://widener.edu,PA
Wilkes University,http://wilkes.edu,PA
Wilson College,http://wilson.edu,PA
York College of Pennsylvania,http://ycp.edu,PA
Pennsylvania Academy of the Fine Arts,http://pafa.edu,PA
East Stroudsburg University,http://esu.edu,PA
Ursinus College,http://ursinus.edu,PA
DeSales University,http://desales.edu,PA
Lancaster Bible College,http://lbc.edu,PA
Cheyney University of Pennsylvania,http://cheyney.edu,PA
Averett University,http://averett.edu,VA
Christendom College,http://christendom.edu,VA
Christopher Newport University,http://cnu.edu,VA
Dabney S. Lancaster Community College,http://dslcc.edu,VA
Eastern Mennonite University,http://emu.edu,VA
Eastern Virginia Medical School,http://evms.edu,VA
Ferrum College,http://ferrum.edu,VA
Germanna Community College,http://germanna.edu,VA
George Mason University,http://gmu.edu,VA
Hampden-Sydney College,http://hsc.edu,VA
The Institute for the Psychological Sciences,http://ipsciences.edu,VA
James Madison University,http://jmu.edu,VA
Liberty University,http://liberty.edu,VA
Longwood University,http://longwood.edu,VA
Marymount University,http://marymount.edu,VA
New River Community College,http://nr.edu,VA
Norfolk State University,http://nsu.edu,VA
Northern Virginia Community College,http://nvcc.edu,VA
Old Dominion University,http://odu.edu,VA
Radford University,http://radford.edu,VA
Randolph College,http://randolphcollege.edu,VA
Rappahannock Community College,http://rappahannock.edu,VA
Regent University,http://regent.edu,VA
Reynolds Community College,http://reynolds.edu,VA
University of Richmond,http://richmond.edu,VA
Randolph-Macon College,http://rmc.edu,VA
Roanoke College,http://roanoke.edu,VA
Sentara College of Health Sciences,http://sentara.edu,VA
Stratford University,http://stratford.edu,VA
Shenandoah University,http://su.edu,VA
Southern Virgina University,http://svu.edu,VA
Southwest Virgina Community College,http://sw.edu,VA
Tidewater Community College,http://tcc.edu,VA
Thomas Nelson Community College,http://tncc.edu,VA
University of Mary Washington,http://umw.edu,VA
University of Virginiaâ€™s College at Wise,http://uvawise.edu,VA
Virginiaâ€™s Community Colleges,http://vccs.edu,VA
Virginia Commonwealth University,http://vcu.edu,VA
Virgina Highlands Community College,http://vhcc.edu,VA
Virginia Institute of Marine Science,http://vims.edu,VA
University of Virginia,http://virginia.edu,VA
Virginia Western Community College,http://virginiawestern.edu,VA
Virginia International University,http://viu.edu,VA
Virginia State University,http://vsu.edu,VA
Virginia Polytechnic Institute and State University,http://vt.edu,VA
Virginia Union University,http://vuu.edu,VA
Virginia Wesleyan College,http://vwc.edu,VA
Washington and Lee University,http://wlu.edu,VA
The College of William and Mary,http://wm.edu,VA
